buyer_id,total_transactions,total_amount_spent,on_time_payments,late_payments,bnpl_used,bnpl_default,target
1,7,2510.8084742172055,14,3,1,1,1
2,20,1620.1528903490535,10,3,0,1,0
3,29,990.6416290298516,17,9,0,0,1
4,15,2570.2509254003476,29,4,0,1,1
5,11,1681.7679878944666,8,4,0,1,0
6,8,1364.7274515497322,18,2,1,0,1
7,29,2373.528545457866,12,4,0,1,1
8,21,753.0928646026484,17,4,1,1,1
9,7,4645.954092069496,23,7,0,0,0
10,26,4351.740279804271,11,6,0,0,0
11,19,3567.340870128623,9,7,1,0,0
12,23,620.4477551834354,22,4,0,1,1
13,11,3901.7985469014957,24,1,1,1,1
14,11,4058.990907734193,24,7,0,0,0
15,24,3862.0466268002547,25,8,1,1,0
16,21,658.4328468842817,23,1,0,1,1
17,4,3255.1489896320472,25,0,1,0,0
18,8,4188.191499172053,15,5,0,0,1
19,24,2929.0316659763716,9,2,1,0,0
20,3,3267.396138617636,12,0,0,1,1
21,22,2345.9810491889,11,5,1,0,1
22,21,2690.665867431858,17,7,1,1,1
23,2,268.44660592345355,6,8,0,0,0
24,24,3230.9188076690943,28,5,1,1,1
25,12,499.09134316668,8,5,1,0,0
26,6,2231.5715122670945,10,0,0,1,1
27,2,1534.0099785702982,25,4,0,1,1
28,28,2772.596956037394,15,2,0,1,1
29,21,753.7400440637148,4,6,1,1,0
30,1,3489.052669669259,29,8,1,1,1
31,12,3995.556530949505,18,5,0,1,0
32,26,900.4368037414669,11,4,1,1,1
33,22,611.1341280242226,9,6,0,0,1
34,29,813.0258656580598,9,8,1,1,0
35,12,4397.925053302659,28,4,0,1,0
36,25,2688.127382606145,8,4,1,1,1
37,17,2389.5788804367626,3,9,0,1,0
38,27,622.887913601536,21,3,0,1,1
39,27,3282.8244331091128,18,4,0,0,0
40,10,4353.198000285941,14,6,1,0,1
41,28,4158.11075968492,3,2,1,0,0
42,28,3167.6680740059264,17,3,1,1,0
43,16,468.8657115932008,4,8,0,1,0
44,15,650.7454331624635,21,1,1,1,0
45,15,341.6140368381409,28,7,1,0,1
46,19,1361.6481608130996,18,8,0,0,0
47,12,764.7411890858509,15,4,0,0,0
48,23,1374.235397236926,19,6,0,1,0
49,20,1986.7844730229122,28,5,0,1,1
50,25,4720.615641948565,22,0,1,1,1
51,3,3090.842692930291,6,7,0,1,0
52,5,4191.371549846515,15,8,1,0,1
53,19,3580.722353490428,7,9,0,0,1
54,7,651.2653395804956,12,0,1,0,0
55,21,3706.0099912323494,16,7,0,0,1
56,9,1447.9845196397098,9,2,0,0,0
57,7,3231.628450274061,20,5,0,1,0
58,18,1770.7136708506437,5,9,0,0,1
59,4,4988.59408999683,11,7,0,1,1
60,25,1391.4022495342113,2,4,1,1,0
61,28,1467.7393067939213,22,7,1,0,0
62,14,4660.294052255752,16,6,1,0,0
63,18,220.75758271798108,4,6,1,1,1
64,26,3513.776040578665,5,6,1,1,1
65,9,3654.0993146058026,7,8,0,1,1
66,26,4198.255029310957,6,5,0,1,1
67,21,4874.752622128529,24,5,1,0,0
68,2,4880.449403867597,22,8,1,1,1
69,20,419.8561120756731,10,5,1,0,1
70,28,4127.012681489223,14,6,1,0,1
71,15,3266.9186749211685,8,6,1,0,0
72,28,3271.976458428147,29,1,0,0,1
73,7,728.9146404120045,14,7,1,1,0
74,12,3285.917115583701,14,5,0,1,1
75,29,4914.164644946114,20,3,1,0,0
76,8,4567.91099074329,28,6,0,1,0
77,15,2251.7402379437676,23,7,1,0,0
78,3,295.74506910186227,3,0,1,0,0
79,14,1875.2381010010038,1,9,0,1,1
80,17,4149.312526842721,29,3,0,1,1
81,4,3537.3455971793137,9,3,0,1,1
82,18,2350.783912410386,9,9,1,1,0
83,8,369.99752227827236,22,8,1,0,0
84,4,2191.784166334183,2,5,1,0,0
85,2,2398.2222046176294,16,3,1,0,0
86,6,4649.922111181266,8,0,0,1,1
87,22,3241.3219075525813,26,7,0,1,1
88,10,1627.0992916077796,6,8,0,0,0
89,4,2674.059495808535,23,4,0,1,1
90,22,423.6710083285843,13,4,0,0,0
91,29,4865.58435468371,1,9,0,0,1
92,18,1864.2935194605575,19,7,0,0,1
93,26,2441.5500390743655,15,7,1,1,0
94,12,1840.8914737609207,1,4,1,1,1
95,2,3444.307477569381,10,3,0,0,0
96,10,3344.937575815006,1,5,0,1,1
97,4,3605.0793215927647,28,9,1,1,0
98,14,1413.901825098412,12,4,0,1,0
99,16,1646.7755577039234,11,7,1,0,0
100,15,713.7310323714189,29,8,1,1,1
101,8,3311.9988620459517,17,0,0,1,1
102,14,295.0059239446975,4,8,1,1,0
103,23,3028.6434440649496,29,8,1,0,0
104,28,4361.509835773006,23,5,1,0,1
105,25,4465.077526619204,7,9,0,0,0
106,8,2300.2850258128124,12,4,0,1,0
107,21,2350.5880722440616,13,6,1,0,1
108,16,477.14899673928505,5,7,0,1,0
109,13,3386.748624670875,28,8,1,0,0
110,18,4124.171159826943,6,8,1,1,0
111,15,1298.8097675630938,2,9,0,0,1
112,21,2164.374320003487,21,2,1,0,1
113,24,4210.312750149825,7,7,1,1,0
114,26,4397.890291545211,14,0,1,0,0
115,25,1291.581903294707,25,6,1,1,1
116,28,2797.796109252685,22,4,1,1,0
117,28,1043.2164381155526,28,1,1,1,0
118,28,599.2059442838271,14,1,1,1,0
119,13,4564.490456820592,10,7,0,1,1
120,9,4120.486770737335,4,4,0,1,1
121,29,3824.1710188355523,3,2,1,0,1
122,15,338.954962184388,25,0,0,0,0
123,13,4234.271084280262,23,6,1,0,0
124,1,2246.41597193638,27,2,1,0,1
125,25,1777.7361041497122,14,6,1,0,0
126,7,2777.7341690243447,29,1,1,0,1
127,9,547.6308893454236,6,3,0,1,0
128,24,3807.5680918267544,23,1,1,1,1
129,1,2953.9318767526497,15,3,1,1,1
130,12,1014.2914746785209,8,4,0,0,1
131,8,1022.3377788683234,5,7,0,1,0
132,24,1002.8183927061037,3,1,0,1,0
133,11,379.3116990044765,3,9,0,1,1
134,19,2980.2124019212556,13,2,0,1,0
135,17,4217.70607018369,2,9,0,0,1
136,8,185.74124853820416,24,4,1,1,1
137,3,340.1227603592404,1,8,1,1,1
138,3,2906.5743557660344,12,9,0,1,1
139,1,4115.528858391656,8,4,0,0,0
140,27,1701.0205637863046,19,8,1,0,1
